date,megawatthours
2018-07-01 05:00:00,45037
2018-07-01 06:00:00,96248
2018-07-01 07:00:00,94535
2018-07-01 08:00:00,93672
2018-07-01 09:00:00,89685
2018-07-01 10:00:00,87820
2018-07-01 11:00:00,87156
2018-07-01 12:00:00,89870
2018-07-01 13:00:00,99023
2018-07-01 14:00:00,109202
2018-07-01 15:00:00,116624
2018-07-01 16:00:00,123060
2018-07-01 17:00:00,127023
2018-07-01 18:00:00,130876
2018-07-01 19:00:00,132157
2018-07-01 20:00:00,133852
2018-07-01 21:00:00,135758
2018-07-01 22:00:00,136872
2018-07-01 23:00:00,138143
2018-07-02 00:00:00,137707
2018-07-02 01:00:00,137109
2018-07-02 02:00:00,136100
2018-07-02 03:00:00,131168
2018-07-02 04:00:00,122670
2018-07-02 05:00:00,113200
2018-07-02 06:00:00,118054
2018-07-02 07:00:00,111146
2018-07-02 08:00:00,107518
2018-07-02 09:00:00,105156
2018-07-02 10:00:00,106279
2018-07-02 11:00:00,111407
2018-07-02 12:00:00,120163
2018-07-02 13:00:00,129495
2018-07-02 14:00:00,137732
2018-07-02 15:00:00,143624
2018-07-02 16:00:00,147298
2018-07-02 17:00:00,152002
2018-07-02 18:00:00,154136
2018-07-02 19:00:00,156463
2018-07-02 20:00:00,158126
2018-07-02 21:00:00,158581
2018-07-02 22:00:00,159575
2018-07-02 23:00:00,159872
2018-07-03 00:00:00,159437
2018-07-03 01:00:00,158112
2018-07-03 02:00:00,156106
2018-07-03 03:00:00,151343
2018-07-03 04:00:00,142901
2018-07-03 05:00:00,130841
2018-07-03 06:00:00,117849
2018-07-03 07:00:00,111970
2018-07-03 08:00:00,108043
2018-07-03 09:00:00,107798
2018-07-03 10:00:00,109746
2018-07-03 11:00:00,114418
2018-07-03 12:00:00,120102
2018-07-03 13:00:00,129204
2018-07-03 14:00:00,139405
2018-07-03 15:00:00,145984
2018-07-03 16:00:00,151335
2018-07-03 17:00:00,153401
2018-07-03 18:00:00,156226
2018-07-03 19:00:00,157770
2018-07-03 20:00:00,157849
2018-07-03 21:00:00,157761
2018-07-03 22:00:00,158159
2018-07-03 23:00:00,158905
2018-07-04 00:00:00,158162
2018-07-04 01:00:00,157968
2018-07-04 02:00:00,155379
2018-07-04 03:00:00,149938
2018-07-04 04:00:00,142839
2018-07-04 05:00:00,133668
2018-07-04 06:00:00,124568
2018-07-04 07:00:00,114402
2018-07-04 08:00:00,107220
2018-07-04 09:00:00,103576
2018-07-04 10:00:00,102525
2018-07-04 11:00:00,102298
2018-07-04 12:00:00,106736
2018-07-04 13:00:00,116917
2018-07-04 14:00:00,128311
2018-07-04 15:00:00,137274
2018-07-04 16:00:00,145077
2018-07-04 17:00:00,149170
2018-07-04 18:00:00,152672
2018-07-04 19:00:00,153420
2018-07-04 20:00:00,154434
2018-07-04 21:00:00,155119
2018-07-04 22:00:00,154907
2018-07-04 23:00:00,154473
2018-07-05 00:00:00,153159
2018-07-05 01:00:00,150770
2018-07-05 02:00:00,147769
2018-07-05 03:00:00,143607
2018-07-05 04:00:00,136677
2018-07-05 05:00:00,127519
2018-07-05 06:00:00,118389
2018-07-05 07:00:00,111963
2018-07-05 08:00:00,108184
2018-07-05 09:00:00,107022
2018-07-05 10:00:00,109638
2018-07-05 11:00:00,117289
2018-07-05 12:00:00,123601
2018-07-05 13:00:00,132193
2018-07-05 14:00:00,137924
2018-07-05 15:00:00,143996
2018-07-05 16:00:00,149216
2018-07-05 17:00:00,151209
2018-07-05 18:00:00,155328
2018-07-05 19:00:00,157462
2018-07-05 20:00:00,159209
2018-07-05 21:00:00,159809
2018-07-05 22:00:00,159897
2018-07-05 23:00:00,158654
2018-07-06 00:00:00,156979
2018-07-06 01:00:00,157445
2018-07-06 02:00:00,154825
2018-07-06 03:00:00,150345
2018-07-06 04:00:00,142923
2018-07-06 05:00:00,131707
2018-07-06 06:00:00,121988
2018-07-06 07:00:00,113073
2018-07-06 08:00:00,107676
2018-07-06 09:00:00,105668
2018-07-06 10:00:00,106024
2018-07-06 11:00:00,109035
2018-07-06 12:00:00,113542
2018-07-06 13:00:00,119681
2018-07-06 14:00:00,128116
2018-07-06 15:00:00,136001
2018-07-06 16:00:00,141237
2018-07-06 17:00:00,145900
2018-07-06 18:00:00,148987
2018-07-06 19:00:00,150599
2018-07-06 20:00:00,150783
2018-07-06 21:00:00,149580
2018-07-06 22:00:00,147635
2018-07-06 23:00:00,146233
2018-07-07 00:00:00,141847
2018-07-07 01:00:00,136927
2018-07-07 02:00:00,130831
2018-07-07 03:00:00,121633
2018-07-07 04:00:00,111438
2018-07-07 05:00:00,104295
2018-07-07 06:00:00,97622
2018-07-07 07:00:00,92301
2018-07-07 08:00:00,88957
2018-07-07 09:00:00,86080
2018-07-07 10:00:00,84155
2018-07-07 11:00:00,83764
2018-07-07 12:00:00,84737
2018-07-07 13:00:00,90361
2018-07-07 14:00:00,99116
2018-07-07 15:00:00,107421
2018-07-07 16:00:00,113395
2018-07-07 17:00:00,120098
2018-07-07 18:00:00,124533
2018-07-07 19:00:00,128201
2018-07-07 20:00:00,129916
2018-07-07 21:00:00,132228
2018-07-07 22:00:00,134183
2018-07-07 23:00:00,132923
2018-07-08 00:00:00,129722
2018-07-08 01:00:00,125665
2018-07-08 02:00:00,119882
2018-07-08 03:00:00,112822
2018-07-08 04:00:00,104365
2018-07-08 05:00:00,95947
2018-07-08 06:00:00,90281
2018-07-08 07:00:00,86514
2018-07-08 08:00:00,83257
2018-07-08 09:00:00,81671
2018-07-08 10:00:00,81051
2018-07-08 11:00:00,81136
2018-07-08 12:00:00,81505
2018-07-08 13:00:00,86244
2018-07-08 14:00:00,94935
2018-07-08 15:00:00,103684
2018-07-08 16:00:00,113326
2018-07-08 17:00:00,120665
2018-07-08 18:00:00,127442
2018-07-08 19:00:00,131809
2018-07-08 20:00:00,134179
2018-07-08 21:00:00,136591
2018-07-08 22:00:00,138692
2018-07-08 23:00:00,139604
2018-07-09 00:00:00,138641
2018-07-09 01:00:00,136695
2018-07-09 02:00:00,132813
2018-07-09 03:00:00,126084
2018-07-09 04:00:00,114356
2018-07-09 05:00:00,104429
2018-07-09 06:00:00,98511
2018-07-09 07:00:00,91894
2018-07-09 08:00:00,88460
2018-07-09 09:00:00,87898
2018-07-09 10:00:00,90114
2018-07-09 11:00:00,94708
2018-07-09 12:00:00,103597
2018-07-09 13:00:00,114453
2018-07-09 14:00:00,123842
2018-07-09 15:00:00,131380
2018-07-09 16:00:00,137454
2018-07-09 17:00:00,140126
2018-07-09 18:00:00,143607
2018-07-09 19:00:00,145959
2018-07-09 20:00:00,147876
2018-07-09 21:00:00,149684
2018-07-09 22:00:00,150126
2018-07-09 23:00:00,150214
2018-07-10 00:00:00,149035
2018-07-10 01:00:00,146995
2018-07-10 02:00:00,144879
2018-07-10 03:00:00,141172
2018-07-10 04:00:00,133121
2018-07-10 05:00:00,126410
2018-07-10 06:00:00,107994
2018-07-10 07:00:00,99887
2018-07-10 08:00:00,100529
2018-07-10 09:00:00,98582
2018-07-10 10:00:00,99657
2018-07-10 11:00:00,103796
2018-07-10 12:00:00,113107
2018-07-10 13:00:00,125161
2018-07-10 14:00:00,134875
2018-07-10 15:00:00,141213
2018-07-10 16:00:00,146629
2018-07-10 17:00:00,149627
2018-07-10 18:00:00,152234
2018-07-10 19:00:00,154410
2018-07-10 20:00:00,155838
2018-07-10 21:00:00,156563
2018-07-10 22:00:00,157166
2018-07-10 23:00:00,157298
2018-07-11 00:00:00,152906
2018-07-11 01:00:00,155483
2018-07-11 02:00:00,152313
2018-07-11 03:00:00,147064
2018-07-11 04:00:00,137818
2018-07-11 05:00:00,98510
2018-07-11 06:00:00,90639
2018-07-11 07:00:00,84039
2018-07-11 08:00:00,78722
2018-07-11 09:00:00,76032
2018-07-11 10:00:00,76704
2018-07-11 11:00:00,79561
2018-07-11 12:00:00,83556
2018-07-11 13:00:00,90045
2018-07-11 14:00:00,98718
2018-07-11 15:00:00,107117
2018-07-11 16:00:00,112205
2018-07-11 17:00:00,114092
2018-07-11 18:00:00,117286
2018-07-11 19:00:00,118805
2018-07-11 20:00:00,119292
2018-07-11 21:00:00,119903
2018-07-11 22:00:00,120234
2018-07-11 23:00:00,116613
2018-07-12 00:00:00,120131
2018-07-12 01:00:00,117716
2018-07-12 02:00:00,119014
2018-07-12 03:00:00,115645
2018-07-12 04:00:00,109304
2018-07-12 05:00:00,99225
2018-07-12 06:00:00,91460
2018-07-12 07:00:00,83675
2018-07-12 08:00:00,78576
2018-07-12 09:00:00,75609
2018-07-12 10:00:00,76065
2018-07-12 11:00:00,79664
2018-07-12 12:00:00,85138
2018-07-12 13:00:00,92672
2018-07-12 14:00:00,101502
2018-07-12 15:00:00,109258
2018-07-12 16:00:00,114838
