date,megawatthours
2018-07-01 05:00:00,3206
2018-07-01 06:00:00,4270
2018-07-01 07:00:00,4352
2018-07-01 08:00:00,22257
2018-07-01 09:00:00,21434
2018-07-01 10:00:00,21099
2018-07-01 11:00:00,21529
2018-07-01 12:00:00,22366
2018-07-01 13:00:00,23673
2018-07-01 14:00:00,23912
2018-07-01 15:00:00,25061
2018-07-01 16:00:00,28933
2018-07-01 17:00:00,32736
2018-07-01 18:00:00,34702
2018-07-01 19:00:00,38390
2018-07-01 20:00:00,41002
2018-07-01 21:00:00,42131
2018-07-01 22:00:00,42260
2018-07-01 23:00:00,40220
2018-07-02 00:00:00,35780
2018-07-02 01:00:00,33726
2018-07-02 02:00:00,33328
2018-07-02 03:00:00,31304
2018-07-02 04:00:00,30015
2018-07-02 05:00:00,27071
2018-07-02 06:00:00,24399
2018-07-02 07:00:00,22547
2018-07-02 08:00:00,21343
2018-07-02 09:00:00,20788
2018-07-02 10:00:00,20195
2018-07-02 11:00:00,20275
2018-07-02 12:00:00,21900
2018-07-02 13:00:00,23697
2018-07-02 14:00:00,25922
2018-07-02 15:00:00,28771
2018-07-02 16:00:00,32138
2018-07-02 17:00:00,35030
2018-07-02 18:00:00,38983
2018-07-02 19:00:00,41403
2018-07-02 20:00:00,43492
2018-07-02 21:00:00,43745
2018-07-02 22:00:00,44559
2018-07-02 23:00:00,41436
2018-07-03 00:00:00,37476
2018-07-03 01:00:00,33949
2018-07-03 02:00:00,33330
2018-07-03 03:00:00,31027
2018-07-03 04:00:00,27965
2018-07-03 05:00:00,27409
2018-07-03 06:00:00,24743
2018-07-03 07:00:00,22833
2018-07-03 08:00:00,21529
2018-07-03 09:00:00,19174
2018-07-03 10:00:00,19093
2018-07-03 11:00:00,19520
2018-07-03 12:00:00,22140
2018-07-03 13:00:00,23628
2018-07-03 14:00:00,26291
2018-07-03 15:00:00,29217
2018-07-03 16:00:00,31354
2018-07-03 17:00:00,34273
2018-07-03 18:00:00,38417
2018-07-03 19:00:00,41575
2018-07-03 20:00:00,43139
2018-07-03 21:00:00,44017
2018-07-03 22:00:00,43919
2018-07-03 23:00:00,40860
2018-07-04 00:00:00,36520
2018-07-04 01:00:00,33784
2018-07-04 02:00:00,33548
2018-07-04 03:00:00,32399
2018-07-04 04:00:00,30954
2018-07-04 05:00:00,27917
2018-07-04 06:00:00,24772
2018-07-04 07:00:00,22526
2018-07-04 08:00:00,20567
2018-07-04 09:00:00,19535
2018-07-04 10:00:00,18977
2018-07-04 11:00:00,18640
2018-07-04 12:00:00,19535
2018-07-04 13:00:00,21369
2018-07-04 14:00:00,22938
2018-07-04 15:00:00,24232
2018-07-04 16:00:00,25935
2018-07-04 17:00:00,29448
2018-07-04 18:00:00,31324
2018-07-04 19:00:00,33813
2018-07-04 20:00:00,37382
2018-07-04 21:00:00,39720
2018-07-04 22:00:00,39407
2018-07-04 23:00:00,35573
2018-07-05 00:00:00,30830
2018-07-05 01:00:00,29356
2018-07-05 02:00:00,30334
2018-07-05 03:00:00,30139
2018-07-05 04:00:00,29396
2018-07-05 05:00:00,25617
2018-07-05 06:00:00,22912
2018-07-05 07:00:00,21373
2018-07-05 08:00:00,18815
2018-07-05 09:00:00,17207
2018-07-05 10:00:00,16695
2018-07-05 11:00:00,16920
2018-07-05 12:00:00,19736
2018-07-05 13:00:00,21711
2018-07-05 14:00:00,24120
2018-07-05 15:00:00,27165
2018-07-05 16:00:00,29408
2018-07-05 17:00:00,33842
2018-07-05 18:00:00,36955
2018-07-05 19:00:00,41285
2018-07-05 20:00:00,44025
2018-07-05 21:00:00,45585
2018-07-05 22:00:00,45287
2018-07-05 23:00:00,41853
2018-07-06 00:00:00,38361
2018-07-06 01:00:00,35178
2018-07-06 02:00:00,33591
2018-07-06 03:00:00,32079
2018-07-06 04:00:00,30695
2018-07-06 05:00:00,27383
2018-07-06 06:00:00,22927
2018-07-06 07:00:00,19292
2018-07-06 08:00:00,17601
2018-07-06 09:00:00,16285
2018-07-06 10:00:00,16642
2018-07-06 11:00:00,17622
2018-07-06 12:00:00,19521
2018-07-06 13:00:00,21650
2018-07-06 14:00:00,25879
2018-07-06 15:00:00,28606
2018-07-06 16:00:00,33073
2018-07-06 17:00:00,35376
2018-07-06 18:00:00,38505
2018-07-06 19:00:00,42498
2018-07-06 20:00:00,42262
2018-07-06 21:00:00,42790
2018-07-06 22:00:00,42849
2018-07-06 23:00:00,39705
2018-07-07 00:00:00,37115
2018-07-07 01:00:00,34778
2018-07-07 02:00:00,33426
2018-07-07 03:00:00,31660
2018-07-07 04:00:00,29740
2018-07-07 05:00:00,27692
2018-07-07 06:00:00,23387
2018-07-07 07:00:00,20637
2018-07-07 08:00:00,18584
2018-07-07 09:00:00,17693
2018-07-07 10:00:00,16950
2018-07-07 11:00:00,17162
2018-07-07 12:00:00,18343
2018-07-07 13:00:00,20295
2018-07-07 14:00:00,22485
2018-07-07 15:00:00,23454
2018-07-07 16:00:00,25203
2018-07-07 17:00:00,27363
2018-07-07 18:00:00,28078
2018-07-07 19:00:00,30413
2018-07-07 20:00:00,33803
2018-07-07 21:00:00,36469
2018-07-07 22:00:00,37004
2018-07-07 23:00:00,34661
2018-07-08 00:00:00,34548
2018-07-08 01:00:00,33362
2018-07-08 02:00:00,33209
2018-07-08 03:00:00,31744
2018-07-08 04:00:00,28952
2018-07-08 05:00:00,26427
2018-07-08 06:00:00,22777
2018-07-08 07:00:00,19999
2018-07-08 08:00:00,17824
2018-07-08 09:00:00,16649
2018-07-08 10:00:00,15962
2018-07-08 11:00:00,16346
2018-07-08 12:00:00,16973
2018-07-08 13:00:00,17426
2018-07-08 14:00:00,18944
2018-07-08 15:00:00,19845
2018-07-08 16:00:00,21624
2018-07-08 17:00:00,23820
2018-07-08 18:00:00,25758
2018-07-08 19:00:00,29540
2018-07-08 20:00:00,33299
2018-07-08 21:00:00,37157
2018-07-08 22:00:00,39766
2018-07-08 23:00:00,37590
2018-07-09 00:00:00,35724
2018-07-09 01:00:00,34213
2018-07-09 02:00:00,33177
2018-07-09 03:00:00,29987
2018-07-09 04:00:00,27056
2018-07-09 05:00:00,22577
2018-07-09 06:00:00,19764
2018-07-09 07:00:00,17762
2018-07-09 08:00:00,15710
2018-07-09 09:00:00,15344
2018-07-09 10:00:00,15644
2018-07-09 11:00:00,16116
2018-07-09 12:00:00,18001
2018-07-09 13:00:00,19618
2018-07-09 14:00:00,23613
2018-07-09 15:00:00,25760
2018-07-09 16:00:00,26849
2018-07-09 17:00:00,31432
2018-07-09 18:00:00,35393
2018-07-09 19:00:00,39445
2018-07-09 20:00:00,42797
2018-07-09 21:00:00,46837
2018-07-09 22:00:00,47087
2018-07-09 23:00:00,43664
2018-07-10 00:00:00,41524
2018-07-10 01:00:00,36468
2018-07-10 02:00:00,35170
2018-07-10 03:00:00,31998
2018-07-10 04:00:00,28982
2018-07-10 05:00:00,26355
2018-07-10 06:00:00,21853
2018-07-10 07:00:00,19226
2018-07-10 08:00:00,18552
2018-07-10 09:00:00,18169
2018-07-10 10:00:00,18098
2018-07-10 11:00:00,18182
2018-07-10 12:00:00,20045
2018-07-10 13:00:00,21187
2018-07-10 14:00:00,23299
2018-07-10 15:00:00,24489
2018-07-10 16:00:00,25196
2018-07-10 17:00:00,26785
2018-07-10 18:00:00,30763
2018-07-10 19:00:00,34204
2018-07-10 20:00:00,37357
2018-07-10 21:00:00,40569
2018-07-10 22:00:00,40971
2018-07-10 23:00:00,40249
2018-07-11 00:00:00,38222
2018-07-11 01:00:00,36348
2018-07-11 02:00:00,34893
2018-07-11 03:00:00,33071
2018-07-11 04:00:00,30717
2018-07-11 05:00:00,27747
2018-07-11 06:00:00,24496
2018-07-11 07:00:00,21938
2018-07-11 08:00:00,19688
2018-07-11 09:00:00,18492
2018-07-11 10:00:00,17963
2018-07-11 11:00:00,18008
2018-07-11 12:00:00,19199
2018-07-11 13:00:00,21288
2018-07-11 14:00:00,24536
2018-07-11 15:00:00,25887
2018-07-11 16:00:00,27374
2018-07-11 17:00:00,30493
2018-07-11 18:00:00,33741
2018-07-11 19:00:00,36294
2018-07-11 20:00:00,39208
2018-07-11 21:00:00,42123
2018-07-11 22:00:00,43848
2018-07-11 23:00:00,43411
2018-07-12 00:00:00,42387
2018-07-12 01:00:00,39318
2018-07-12 02:00:00,38098
2018-07-12 03:00:00,36033
2018-07-12 04:00:00,33313
2018-07-12 05:00:00,30208
2018-07-12 06:00:00,25061
2018-07-12 07:00:00,21664
2018-07-12 08:00:00,18958
2018-07-12 09:00:00,17607
2018-07-12 10:00:00,17012
2018-07-12 11:00:00,17701
2018-07-12 12:00:00,19306
2018-07-12 13:00:00,21292
2018-07-12 14:00:00,23748
2018-07-12 15:00:00,24593
2018-07-12 16:00:00,26197
2018-07-12 17:00:00,28484
2018-07-12 18:00:00,32299
2018-07-12 19:00:00,35345
2018-07-12 20:00:00,39825
2018-07-12 21:00:00,42190
2018-07-12 22:00:00,43555
2018-07-12 23:00:00,43871
2018-07-13 00:00:00,42333
2018-07-13 01:00:00,41154
2018-07-13 02:00:00,40277
2018-07-13 03:00:00,38041
2018-07-13 04:00:00,34922
2018-07-13 05:00:00,30440
2018-07-13 06:00:00,26196
2018-07-13 07:00:00,21912
2018-07-13 08:00:00,18712
2018-07-13 09:00:00,16673
2018-07-13 10:00:00,16075
2018-07-13 11:00:00,16884
2018-07-13 12:00:00,18872
2018-07-13 13:00:00,20821
2018-07-13 14:00:00,23245
2018-07-13 15:00:00,23832
2018-07-13 16:00:00,25301
2018-07-13 17:00:00,27740
2018-07-13 18:00:00,31180
2018-07-13 19:00:00,34489
