date,megawatthours
2018-07-01 05:00:00,66791
2018-07-01 06:00:00,92199
2018-07-01 07:00:00,89001
2018-07-01 08:00:00,101095
2018-07-01 09:00:00,97000
2018-07-01 10:00:00,93605
2018-07-01 11:00:00,95430
2018-07-01 12:00:00,104090
2018-07-01 13:00:00,113900
2018-07-01 14:00:00,127189
2018-07-01 15:00:00,140380
2018-07-01 16:00:00,149812
2018-07-01 17:00:00,160200
2018-07-01 18:00:00,168761
2018-07-01 19:00:00,175635
2018-07-01 20:00:00,180932
2018-07-01 21:00:00,184934
2018-07-01 22:00:00,187604
2018-07-01 23:00:00,187171
2018-07-02 00:00:00,184196
2018-07-02 01:00:00,177915
2018-07-02 02:00:00,172285
2018-07-02 03:00:00,161131
2018-07-02 04:00:00,144417
2018-07-02 05:00:00,129992
2018-07-02 06:00:00,141690
2018-07-02 07:00:00,133028
2018-07-02 08:00:00,128303
2018-07-02 09:00:00,127726
2018-07-02 10:00:00,130388
2018-07-02 11:00:00,136439
2018-07-02 12:00:00,148176
2018-07-02 13:00:00,162013
2018-07-02 14:00:00,178610
2018-07-02 15:00:00,191355
2018-07-02 16:00:00,208691
2018-07-02 17:00:00,221717
2018-07-02 18:00:00,232694
2018-07-02 19:00:00,240320
2018-07-02 20:00:00,244728
2018-07-02 21:00:00,248847
2018-07-02 22:00:00,249661
2018-07-02 23:00:00,246997
2018-07-03 00:00:00,239665
2018-07-03 01:00:00,230888
2018-07-03 02:00:00,218809
2018-07-03 03:00:00,200551
2018-07-03 04:00:00,173659
2018-07-03 05:00:00,156263
2018-07-03 06:00:00,145593
2018-07-03 07:00:00,137549
2018-07-03 08:00:00,132600
2018-07-03 09:00:00,130383
2018-07-03 10:00:00,132841
2018-07-03 11:00:00,140041
2018-07-03 12:00:00,149780
2018-07-03 13:00:00,160539
2018-07-03 14:00:00,175412
2018-07-03 15:00:00,191567
2018-07-03 16:00:00,209046
2018-07-03 17:00:00,225987
2018-07-03 18:00:00,237301
2018-07-03 19:00:00,243027
2018-07-03 20:00:00,249260
2018-07-03 21:00:00,250629
2018-07-03 22:00:00,247592
2018-07-03 23:00:00,242778
2018-07-04 00:00:00,235178
2018-07-04 01:00:00,224477
2018-07-04 02:00:00,211809
2018-07-04 03:00:00,194667
2018-07-04 04:00:00,174429
2018-07-04 05:00:00,155012
2018-07-04 06:00:00,142228
2018-07-04 07:00:00,132315
2018-07-04 08:00:00,127879
2018-07-04 09:00:00,124193
2018-07-04 10:00:00,120399
2018-07-04 11:00:00,122336
2018-07-04 12:00:00,129508
2018-07-04 13:00:00,139423
2018-07-04 14:00:00,153619
2018-07-04 15:00:00,170740
2018-07-04 16:00:00,189407
2018-07-04 17:00:00,199923
2018-07-04 18:00:00,209507
2018-07-04 19:00:00,213309
2018-07-04 20:00:00,212514
2018-07-04 21:00:00,210525
2018-07-04 22:00:00,208264
2018-07-04 23:00:00,205432
2018-07-05 00:00:00,197771
2018-07-05 01:00:00,187962
2018-07-05 02:00:00,181150
2018-07-05 03:00:00,170084
2018-07-05 04:00:00,157216
2018-07-05 05:00:00,147597
2018-07-05 06:00:00,139200
2018-07-05 07:00:00,133373
2018-07-05 08:00:00,130639
2018-07-05 09:00:00,129302
2018-07-05 10:00:00,131797
2018-07-05 11:00:00,138054
2018-07-05 12:00:00,147553
2018-07-05 13:00:00,160672
2018-07-05 14:00:00,177443
2018-07-05 15:00:00,194568
2018-07-05 16:00:00,212379
2018-07-05 17:00:00,226990
2018-07-05 18:00:00,235164
2018-07-05 19:00:00,240290
2018-07-05 20:00:00,245061
2018-07-05 21:00:00,246860
2018-07-05 22:00:00,248320
2018-07-05 23:00:00,245563
2018-07-06 00:00:00,235913
2018-07-06 01:00:00,227582
