date,megawatthours
2018-07-01 05:00:00,58363
2018-07-01 06:00:00,75818
2018-07-01 07:00:00,75650
2018-07-01 08:00:00,81700
2018-07-01 09:00:00,81733
2018-07-01 10:00:00,81795
2018-07-01 11:00:00,81650
2018-07-01 12:00:00,81885
2018-07-01 13:00:00,81842
2018-07-01 14:00:00,81748
2018-07-01 15:00:00,81626
2018-07-01 16:00:00,81191
2018-07-01 17:00:00,81066
2018-07-01 18:00:00,81013
2018-07-01 19:00:00,81026
2018-07-01 20:00:00,81088
2018-07-01 21:00:00,81108
2018-07-01 22:00:00,81152
2018-07-01 23:00:00,81237
2018-07-02 00:00:00,81311
2018-07-02 01:00:00,81402
2018-07-02 02:00:00,81286
2018-07-02 03:00:00,81210
2018-07-02 04:00:00,81379
2018-07-02 05:00:00,81554
2018-07-02 06:00:00,86611
2018-07-02 07:00:00,86707
2018-07-02 08:00:00,86690
2018-07-02 09:00:00,86795
2018-07-02 10:00:00,86952
2018-07-02 11:00:00,87087
2018-07-02 12:00:00,87124
2018-07-02 13:00:00,87069
2018-07-02 14:00:00,87065
2018-07-02 15:00:00,86985
2018-07-02 16:00:00,86890
2018-07-02 17:00:00,86802
2018-07-02 18:00:00,86659
2018-07-02 19:00:00,86589
2018-07-02 20:00:00,86525
2018-07-02 21:00:00,86190
2018-07-02 22:00:00,85920
2018-07-02 23:00:00,85805
2018-07-03 00:00:00,85919
2018-07-03 01:00:00,86092
2018-07-03 02:00:00,86285
2018-07-03 03:00:00,86509
2018-07-03 04:00:00,86624
2018-07-03 05:00:00,86652
2018-07-03 06:00:00,86725
2018-07-03 07:00:00,86668
2018-07-03 08:00:00,86832
2018-07-03 09:00:00,87014
2018-07-03 10:00:00,87352
2018-07-03 11:00:00,87562
2018-07-03 12:00:00,87490
2018-07-03 13:00:00,87508
2018-07-03 14:00:00,87340
2018-07-03 15:00:00,86158
2018-07-03 16:00:00,86055
2018-07-03 17:00:00,86045
2018-07-03 18:00:00,85983
2018-07-03 19:00:00,85942
2018-07-03 20:00:00,85939
2018-07-03 21:00:00,85851
2018-07-03 22:00:00,85864
2018-07-03 23:00:00,85867
