date,megawatthours
2018-07-01 05:00:00,1
2018-07-01 06:00:00,-1
2018-07-01 07:00:00,0
2018-07-01 08:00:00,35
2018-07-01 09:00:00,25
2018-07-01 10:00:00,38
2018-07-01 11:00:00,306
2018-07-01 12:00:00,1043
2018-07-01 13:00:00,2566
2018-07-01 14:00:00,7597
2018-07-01 15:00:00,13224
2018-07-01 16:00:00,15764
2018-07-01 17:00:00,16784
2018-07-01 18:00:00,17386
2018-07-01 19:00:00,17696
2018-07-01 20:00:00,17402
2018-07-01 21:00:00,16865
2018-07-01 22:00:00,15512
2018-07-01 23:00:00,13564
2018-07-02 00:00:00,11517
2018-07-02 01:00:00,8834
2018-07-02 02:00:00,4107
2018-07-02 03:00:00,982
2018-07-02 04:00:00,712
2018-07-02 05:00:00,282
2018-07-02 06:00:00,267
2018-07-02 07:00:00,253
2018-07-02 08:00:00,216
2018-07-02 09:00:00,15
2018-07-02 10:00:00,20
2018-07-02 11:00:00,271
2018-07-02 12:00:00,1105
2018-07-02 13:00:00,2744
2018-07-02 14:00:00,8420
2018-07-02 15:00:00,14220
2018-07-02 16:00:00,16948
2018-07-02 17:00:00,18065
2018-07-02 18:00:00,18841
2018-07-02 19:00:00,18871
2018-07-02 20:00:00,18443
2018-07-02 21:00:00,17527
2018-07-02 22:00:00,16051
2018-07-02 23:00:00,13893
2018-07-03 00:00:00,11647
2018-07-03 01:00:00,8648
2018-07-03 02:00:00,3774
2018-07-03 03:00:00,577
2018-07-03 04:00:00,356
2018-07-03 05:00:00,302
2018-07-03 06:00:00,290
2018-07-03 07:00:00,285
2018-07-03 08:00:00,277
2018-07-03 09:00:00,62
2018-07-03 10:00:00,86
2018-07-03 11:00:00,315
2018-07-03 12:00:00,936
2018-07-03 13:00:00,2494
2018-07-03 14:00:00,7824
2018-07-03 15:00:00,14331
2018-07-03 16:00:00,16886
2018-07-03 17:00:00,18112
2018-07-03 18:00:00,18973
2018-07-03 19:00:00,19264
2018-07-03 20:00:00,18733
2018-07-03 21:00:00,17783
2018-07-03 22:00:00,16321
2018-07-03 23:00:00,14726
2018-07-04 00:00:00,12243
2018-07-04 01:00:00,8904
2018-07-04 02:00:00,3746
2018-07-04 03:00:00,413
2018-07-04 04:00:00,106
2018-07-04 05:00:00,44
2018-07-04 06:00:00,49
2018-07-04 07:00:00,42
2018-07-04 08:00:00,49
2018-07-04 09:00:00,56
2018-07-04 10:00:00,54
2018-07-04 11:00:00,256
2018-07-04 12:00:00,979
2018-07-04 13:00:00,2669
2018-07-04 14:00:00,8310
2018-07-04 15:00:00,14275
2018-07-04 16:00:00,16919
2018-07-04 17:00:00,18196
2018-07-04 18:00:00,18538
2018-07-04 19:00:00,18512
2018-07-04 20:00:00,18126
2018-07-04 21:00:00,17002
2018-07-04 22:00:00,16097
2018-07-04 23:00:00,14758
2018-07-05 00:00:00,12484
2018-07-05 01:00:00,9198
2018-07-05 02:00:00,3924
2018-07-05 03:00:00,544
2018-07-05 04:00:00,307
2018-07-05 05:00:00,256
2018-07-05 06:00:00,267
2018-07-05 07:00:00,258
2018-07-05 08:00:00,103
2018-07-05 09:00:00,31
2018-07-05 10:00:00,63
2018-07-05 11:00:00,222
2018-07-05 12:00:00,1028
2018-07-05 13:00:00,2703
2018-07-05 14:00:00,8275
2018-07-05 15:00:00,13789
2018-07-05 16:00:00,16557
2018-07-05 17:00:00,17818
2018-07-05 18:00:00,18282
2018-07-05 19:00:00,18156
2018-07-05 20:00:00,17860
