date,megawatthours
2018-07-01 05:00:00,3533
2018-07-01 06:00:00,7410
2018-07-01 07:00:00,8814
2018-07-01 08:00:00,15377
2018-07-01 09:00:00,14390
2018-07-01 10:00:00,13309
2018-07-01 11:00:00,13871
2018-07-01 12:00:00,13694
2018-07-01 13:00:00,13267
2018-07-01 14:00:00,14102
2018-07-01 15:00:00,15371
2018-07-01 16:00:00,16933
2018-07-01 17:00:00,17131
2018-07-01 18:00:00,17146
2018-07-01 19:00:00,17294
2018-07-01 20:00:00,17837
2018-07-01 21:00:00,17685
2018-07-01 22:00:00,16746
2018-07-01 23:00:00,15449
2018-07-02 00:00:00,15580
2018-07-02 01:00:00,15717
2018-07-02 02:00:00,15859
2018-07-02 03:00:00,17021
2018-07-02 04:00:00,18088
2018-07-02 05:00:00,18514
2018-07-02 06:00:00,26920
2018-07-02 07:00:00,24482
2018-07-02 08:00:00,22469
2018-07-02 09:00:00,21677
2018-07-02 10:00:00,22777
2018-07-02 11:00:00,23072
2018-07-02 12:00:00,20687
2018-07-02 13:00:00,17812
2018-07-02 14:00:00,14204
2018-07-02 15:00:00,14252
2018-07-02 16:00:00,14887
2018-07-02 17:00:00,14524
2018-07-02 18:00:00,15443
2018-07-02 19:00:00,17265
2018-07-02 20:00:00,20442
2018-07-02 21:00:00,22139
2018-07-02 22:00:00,23629
2018-07-02 23:00:00,25345
2018-07-03 00:00:00,26826
2018-07-03 01:00:00,26950
2018-07-03 02:00:00,26677
2018-07-03 03:00:00,28738
2018-07-03 04:00:00,31810
2018-07-03 05:00:00,34074
2018-07-03 06:00:00,31894
2018-07-03 07:00:00,27458
2018-07-03 08:00:00,24917
2018-07-03 09:00:00,23368
2018-07-03 10:00:00,21805
2018-07-03 11:00:00,21309
2018-07-03 12:00:00,20712
2018-07-03 13:00:00,18878
2018-07-03 14:00:00,16184
2018-07-03 15:00:00,16013
2018-07-03 16:00:00,16095
2018-07-03 17:00:00,15568
2018-07-03 18:00:00,15629
